he	他\t氦
agreers	同意者
agrees	同意
agribusiness	農業綜合企業
agricola	阿格里科拉
agricultural	農業的
agriculturalist	農學家
agriculturally	農業上
agriculture	農業
agrimony	龍牙草
agrology	農業土壤學
agronomic	農藝的
agronomist	農學家
agronomy	農學
aground	擱淺
ague	瘧疾
agued	患瘧疾的
aguilera	阿奎萊拉
aguish	瘧疾的
agway	安偉
ah	啊
aha	啊哈
ahab	亞哈
ahead	向前
ahem	嗯
ahimsa	不害
ahmad	艾哈邁德
ahmadabad	艾哈邁達巴德
ahmed	艾哈邁德
ahmedabad	艾哈邁達巴德
ahoy	喂
ai	愛
ai	人工智能
aid	援助
aida	阿依達
aide	助手
aided	輔助
aidedecamp	副官
aides	助手
aiding	援助
aidman	救護員
aids	艾滋病
aie	唉
aiee	哎呀
aigc	人工智能生成內容
ai generated content	人工智能生成內容
aigret	白鷺
aiguillette	肩帶
aiken	艾肯
ail	折磨
ailanthus	臭椿
aileen	艾琳
aileron	副翼
ailerons	副翼
ailing	生病的
ailment	疾病
ailments	疾病
aim	目標
aimed	瞄準
aimer	瞄準者
aimers	瞄準者
aiming	瞄準中
aimless	無目標
aimlessly	漫無目的
aims	目標
ain't	不是
ainu	阿伊努人
ainus	阿伊努人
air	空氣
air-conditioning	空調
airbag	安全氣囊
airbags	安全氣囊
airbed	充氣牀
airbnb	愛彼迎
airborne	空降的
airbrush	噴槍
airbus	空客
aircraft	飛機
aircrew	機組
airdrome	機場
airdrop	隔空投送
airdrops	空投
aired	播出的
airedale	艾爾谷犬
airer	晾衣架
airers	晾衣架
aires	艾里斯
airfare	機票
airfares	機票
airfield	機場
airfields	機場
airflow	氣流
airfoil	翼型
airfoils	翼型
airforce	空軍
airframe	機身
airframes	機身
airfreight	空運
airglow	氣輝
airgraph	航空信
airily	輕快地
airiness	通風
airing	晾曬
airings	晾曬
airless	不通風的
airlift	空運
airlifts	空運
airline	航空公司
airliner	客機
airlines	航空公司
airlock	氣閘
airlocks	氣閘
airmail	航空郵件
airmails	航空郵件
airman	飛行員
airmen	飛行員
airometer	風速計
airpark	停機坪
airplane	飛機
airplanes	飛機
airplay	隔空播放
airpods	無線耳機
airpods max	頭戴式耳機
airpods max	頭戴式耳機
airpods pro	入耳式耳機
airport	機場
airports	機場
airs	姿態
airscrew	螺旋槳
airship	飛艇
airships	飛艇
airsick	暈機
airsickness	暈機症
airsoft	軟氣槍
airspace	空域
airspeed	空速
airstream	氣流
airstrip	簡易機場
airstrips	簡易機場
airtight	密封的
airwave	電波
airwaves	電波
airway	航路
airways	航路
airwoman	女飛行員
airworthiness	適航性
airworthy	適航的
airy	通風的
aisle	過道
aitch	字母h
aitken	艾特肯
aiwa	愛華
ajar	微開的
ajax	阿賈克斯
ajax	阿賈克斯
aka	又名
akers	埃克斯
akimbo	叉腰的
akin	類似的
akon	阿肯
akos	阿科斯
akron	阿克倫
ala	阿拉
alabama	阿拉巴馬
alabamans	阿拉巴馬人
alabamian	阿拉巴馬人
alabaster	雪花石膏
alacarte	單點的
alacrity	敏捷
aladdin	阿拉丁
alain	阿蘭
alameda	阿拉米達
alamo	阿拉莫
alamode	時髦
alamos	阿拉莫斯
alan	艾倫
alar	阿拉爾
alarm	警報
alarmed	警覺的
alarming	令人擔憂的
alarmingly	驚人地
alarmism	危言聳聽
alarmist	危言聳聽者
alarms	警報
alarum	警報
alary	翼狀的
alas	唉
alaska	阿拉斯加
alaskan	阿拉斯加的
alastair	阿拉斯泰爾
alate	有翼的
alb	白袍
alba	黎明
albacore	長鰭金槍魚
albania	阿爾巴尼亞
albanian	阿爾巴尼亞的
albanians	阿爾巴尼亞人
albany	奧爾巴尼
albatross	信天翁
albedo	反照率
albeit	儘管
alberich	阿爾貝里希
albert	阿爾伯特
alberta	阿爾伯塔
alberto	阿爾貝託
albescent	變白的
albinism	白化病
albino	白化病人
albion	阿爾比恩
albrecht	阿爾布雷希特
albright	奧爾布賴特
album	相冊
albumen	蛋白
albumin	白蛋白
albuminoid	類蛋白
albuminuria	蛋白尿
albums	相冊
albuquerque	阿爾伯克基
alcalde	市長
alcatel	阿爾卡特
alcazar	城堡
alcestis	阿爾刻斯提斯
alchemic	鍊金術的
alchemist	鍊金術士
alchemy	鍊金術
alcibiades	阿爾西比亞德斯
alcmena	阿爾克墨涅
alcoa	美鋁
alcohol	酒精
alcoholic	酗酒者
alcoholics	酗酒者
alcoholise	使含酒精
alcoholism	酗酒
alcoholize	酒精化
alcoholmeter	酒精計
alcoholometer	酒精比重計
alcohols	醇類
alcott	奧爾科特
alcove	凹室
alcoves	凹室
aldebaran	畢宿五
aldehyde	醛
alden	奧爾登
alder	榿木
alderman	市議員
aldermanic	市議員的
aldermen	市議員
aldine	阿爾定
aldosterone	醛固酮
aldrich	奧爾德里奇
ale	麥芽酒
aleatory	偶然的
alec	亞歷克
aleck	亞歷克
aleconner	啤酒檢驗員
alee	下風
alegar	酸麥芽酒
alembic	蒸餾器
aleph	阿列夫
alert	警覺
alerted	警覺的
alertedly	警覺地
alerter	警報器
alerters	警報器
alerting	警報
alertly	警覺地
alertness	警覺
alertor	警報器
alerts	警報
aleut	阿留申人
aleutian	阿留申的
alewife	油鯡
alex	亞歷克斯
alexa	亞歷克莎
alexander	亞歷山大
alexandra	亞歷山德拉
alexandre	亞歷山大
alexandria	亞歷山大港
alexandrine	亞歷山大詩體
alexei	阿列克謝
alexia	失讀症
alexis	亞歷克西斯
alfa	阿爾法
alfalfa	苜蓿
alfonso	阿方索
alfred	阿爾弗雷德
alfredo	阿爾弗雷多
alfresco	戶外的
alga	藻類
algae	藻類
algaecide	除藻劑
algal	藻類的
algebra	代數
algebraic	代數的
algebraically	代數上
algebras	代數
algenib	壁宿一
alger	阿爾及爾
algeria	阿爾及利亞
algerian	阿爾及利亞的
algid	寒冷的
algiers	阿爾及爾
algin	藻膠
alginate	藻酸鹽
algol	大陵五
algol	算法語言
algology	藻類學
algonquian	阿爾岡昆語
algonquin	阿爾岡昆人
algophobia	恐痛症
algorithm	算法
algorithmic	算法的
algorithmically	算法上
algorithms	算法
alhambra	阿爾罕布拉宮
ali	阿里
ali	阿里
alias	別名
aliased	別名的
aliases	別名
aliasing	別名化
alibaba	阿里巴巴
alibaba group	阿里巴巴集團
alibi	不在場證明
alibis	不在場證明
alibris	阿利布里斯
alicante	阿利坎特
alice	愛麗絲
alicia	艾麗西亞
alien	外星人
alienability	可轉讓性
alienable	可轉讓的
alienate	疏遠
alienated	疏遠的
alienates	疏遠
alienating	疏遠的
alienation	疏離
alienator	讓與人
alienee	受讓人
alienist	精神病學家
alienor	讓與人
aliens	外星人
alienware	外星人電腦
alight	降落
align	對齊
aligned	對齊的
aligning	對齊
alignment	對齊
alignments	對齊
aligns	對齊
alike	相似的
aliment	食物
alimentary	消化
alimentation	營養
aliments	食物
alimony	贍養費
aline	對齊
alinement	結盟
alipay	支付寶
aliped	翼手
aliphatic	脂肪族
aliquant	非整除
aliquot	整除
alison	艾莉森
alist	列表
alistair	阿利斯泰爾
alita	阿麗塔
alito	阿利托
alive	活着
aliworkbench	工作臺
alizarin	茜素
alkali	鹼
alkalify	鹼化
alkaline	鹼性
alkalinity	鹼度
alkalis	鹼類
alkalization	鹼化
alkalize	鹼化
alkaloid	生物鹼
alkaloids	生物鹼
alkyd	醇酸
alkyl	烷基
all	全部
allah	安拉
allan	艾倫
allargando	漸慢
allay	緩解
allayed	緩解
allaying	緩解
allays	緩解
allegation	指控
allegations	指控
allege	聲稱
alleged	聲稱
allegedly	據稱
alleges	聲稱
alleghenies	阿勒格尼
allegheny	阿勒格尼
allegiance	效忠
allegiances	效忠
alleging	聲稱
allegoric	寓言的
allegorical	寓言的
allegorically	寓言地
allegories	寓言
allegorist	寓言家
allegory	寓言
allegra	阿萊格拉
allegretto	小快板
allegrettos	小快板
allegro	快板
allele	等位基因
alleles	等位基因
allemande	阿勒曼德舞
allen	艾倫
allendale	艾倫代爾
allende	阿連德
allentown	阿倫敦
allergen	過敏原
allergenic	致敏的
allergic	過敏的
allergies	過敏症
allergist	過敏專家
allergy	過敏
alleviate	緩解
alleviated	緩解的
alleviates	緩解
alleviating	緩解中
alleviation	緩解
alleviative	緩解的
alleviator	緩解者
alley	小巷
alleys	小巷
alleyway	小巷
alleyways	小巷
allhallows	萬聖節
alliance	聯盟
alliances	聯盟
allied	同盟的
allies	盟友
alligator	鱷魚
alligators	鱷魚
allis	艾利斯
allison	艾莉森
alliterate	押頭韻
alliteration	頭韻
alliterations	頭韻
alliterative	押頭韻的
allocatable	可分配的
allocate	分配
allocated	已分配的
allocates	分配
allocating	分配中
allocation	分配
allocations	分配
allocator	分配器
allocators	分配器
allocution	訓諭
allograph	異形字
allonym	假名
allopath	對抗療法醫師
allopathy	對抗療法
allophone	音位變體
allophones	音位變體
allophonic	音位變體的
allot	分配
allotment	分配
allotments	分配
allotrope	同素異形體
allotropic	同素異形體的
allots	分配
allotted	已分配的
allottee	受配人
allotter	分配者
allotting	分配
allover	遍佈
allow	允許
allowable	允許的
allowably	可允許地
allowance	津貼
allowances	津貼
allowed	允許的
allowing	允許
allows	允許
alloy	合金
alloys	合金
allseed	多籽植物
allspice	多香果
allstate	好事達
allude	暗指
alluded	暗指
alludes	暗指
alluding	暗指
allure	誘惑
allurement	誘惑物
alluring	誘人的
allusion	暗示
allusions	暗示
allusive	暗示的
allusiveness	暗示性
alluvia	沖積層
alluvial	沖積的
alluvium	沖積層
ally	盟友
allying	結盟
allyn	阿林
alma	母校
almaden	阿爾馬登
almalinux	阿爾馬linux
almanac	年鑑
almanacs	年鑑
almightiness	全能
almighty	全能的
almirah	衣櫃
almond	杏仁
almonds	杏仁
almoner	施賑員
almonry	施賑所
almost	幾乎
alms	施捨
almshouse	濟貧院
almsman	受施者
alnico	鋁鎳鈷
aloe	蘆薈
aloes	蘆薈
aloft	在高處
aloha	阿羅哈
alone	獨自
aloneness	孤獨
along	沿着
alongshore	沿岸
alongside	旁邊
aloof	疏遠
aloofness	冷漠
alopecia	脫髮
aloud	大聲
alp	高山
alpaca	羊駝
alpenhorn	阿爾卑斯號角
alpenstock	登山杖
alpert	阿爾珀特
alpha	阿爾法
alphabet	字母表
alphabetic	字母的
alphabetical	按字母順序的
alphabetically	按字母順序
alphabetics	字母學
alphabetize	按字母順序排列
alphabetized	按字母順序排列的
alphabetizes	按字母順序排列
alphabetizing	按字母順序排列
alphabets	字母表
alphafold	阿爾法摺疊
alphago	阿爾法圍棋
alphameric	字母數字的
alphanumeric	字母數字的
alpheratz	壁宿二
alpheus	阿爾菲斯
alphonse	阿方斯
alphscope	阿爾法鏡
alpine	高山的
alpinist	登山者
alprazolam	阿普唑侖
alps	阿爾卑斯山
already	已經
alright	好的
alsace	阿爾薩斯
alsatian	阿爾薩斯犬
alsatians	阿爾薩斯犬
also	也
alsop	阿爾索普
alt	高音
alta	阿爾塔
altair	牽牛星
altar	祭壇
altars	祭壇
altavista	阿爾塔維斯塔
alter	改變
alterability	可變性
alterable	可改變的
alterant	改變劑
alteration	改動
alterations	改動
alterative	改善的
altercation	爭吵
altercations	爭吵
altered	改變了的
alterer	改變者
alterers	改變者
altering	改變中
alternate	交替的
alternated	交替了
alternate history	架空歷史
alternately	交替地
alternates	替代者
alternating	交替的
alternation	交替
alternations	交替
alternative	替代的
alternatively	或者
alternatives	替代方案
alternator	交流發電機
alternators	交流發電機
alters	改變
althaea	蜀葵
althea	蜀葵
althorn	中音號
although	雖然
altimeter	高度計
altitude	海拔
altitudes	海拔
altman	奧特曼
alto	中音
altogether	完全
alton	奧爾頓
altos	中音
altruism	利他主義
altruist	利他主義者
altruistic	利他的
altruistically	利他地
alu	鋁
alum	明礬
alumina	氧化鋁
aluminium	鋁
aluminize	鍍鋁
aluminum	鋁
aluminumal	鋁鋁
alumna	女校友
alumnae	女校友
alumni	校友
alumnus	男校友
alumroot	礬根
alundum	剛玉
alva	阿爾瓦
alvarez	阿爾瓦雷斯
alveolar	齒槽的
alveolate	蜂窩狀的
alveoli	肺泡
alveolus	肺泡
alvin	阿爾文
always	總是
alyssa	艾麗莎
alzheimer	阿爾茨海默
am	是
ama	阿媽
amadavat	梅花雀
amadeus	阿馬迪厄斯
amah	保姆
amain	猛烈地
amalgam	汞合金
amalgamate	合併
amalgamated	合併的
amalgamates	合併
amalgamating	合併中
amalgamation	合併
amalgamative	合併的
amalgamator	合併器
amalgams	混合物
amanda	阿曼達
amanita	毒蠅傘
amanuensis	文書
amaranth	莧菜
amaranthine	不凋的
amarelle	酸櫻桃
amaretto	杏仁酒
amarillo	阿馬裏洛
amaryllis	孤挺花
amass	積累
amassed	積累的
amasses	積累
amassing	積累中
amateur	業餘
amateurish	業餘的
amateurishness	業餘
amateurism	業餘主義
amateurs	業餘者
amative	多情的
amatory	情愛的
amatuer	業餘
amature	業餘
amaurosis	黑蒙
amaze	驚奇
amazed	驚訝的
amazedly	驚訝地
amazement	驚訝
amazer	驚奇者
amazers	驚奇者
amazes	使驚奇
amazing	驚人的
amazingly	驚人地
amazon	亞馬遜
amazons	亞馬遜
amazon web services	亞馬遜雲服務
ambassador	大使
ambassadorial	大使的
ambassadors	大使
ambassadorship	大使職位
ambassadress	女大使
amber	琥珀
ambergris	龍涎香
ambiance	氛圍
ambidexter	雙手靈巧者
ambidexterity	雙手靈巧
ambidextrous	雙手靈巧的
ambidextrously	雙手靈巧地
ambien	安必恩
ambience	氛圍
ambient	周圍的
ambiguities	歧義
ambiguity	歧義
ambiguous	模棱兩可的
ambiguously	模棱兩可地
ambipolar	雙極性
ambition	雄心
ambitions	抱負
ambitious	有抱負的
ambitiously	雄心勃勃地
ambivalence	矛盾心理
ambivalent	矛盾的
ambivalently	矛盾地
ambivert	中間性格
amble	漫步
ambled	漫步過
ambler	漫步者
ambles	漫步
ambling	漫步中
ambrosia	神食
ambrosial	美味的
ambulance	救護車
ambulances	救護車
ambulant	流動的
ambulate	行走
ambulation	行走
ambulatory	可走動的
ambuscade	伏擊
ambush	伏擊
ambushed	被伏擊
ambushes	伏擊
amd	和
amd	超微
amd	超微
amdahl	阿姆達爾
amdgpu	amd顯卡
amelia	阿米莉亞
ameliorable	可改善的
ameliorate	改善
ameliorated	改善的
ameliorating	改善中
amelioration	改善
ameliorative	改善的
amen	阿門
amenability	順從性
amenable	順從的
amenably	順從地
amend	修正
amendable	可修正的
amendatory	修正的
amended	修正的
amending	修正中
amendment	修正案
amendments	修正案
amends	賠償
amenities	便利設施
amenity	便利設施
amenorrhea	閉經
ament	智力缺陷者
amentia	智力缺陷
amerada	阿美拉達
amerce	罰款
america	美國
american	美國人
americana	美國文物
americanisation	美國化
americanise	美國化
americanism	美國主義
americanization	美國化
americanizations	美國化
americanize	美國化
americanizer	美國化者
americanizers	美國化者
americanizes	美國化
americans	美國人
americas	美洲
americium	鎇
ames	艾姆斯
amethyst	紫水晶
amex	美國運通
amharic	阿姆哈拉語
amherst	阿默斯特
ami	朋友
amiability	友善
amiable	友善的
amiably	友善地
amicability	友善
amicable	友善的
amicably	友善地
amice	披肩
amid	在...之中
amide	酰胺
amidol	阿米多酚
amidships	在船中部
amidst	在...之中
amiga	阿米加
amigo	朋友
amine	胺
amino	氨基
amir	埃米爾
amiss	不對
amity	友好
amman	安曼
ammerman	阿默曼
ammeter	電流表
ammo	彈藥
ammonia	氨
ammoniac	氨的
ammoniated	含氨的
ammonite	菊石
ammonium	銨
ammunition	彈藥
amnesia	失憶
amnesty	赦免
amniocentesis	羊膜穿刺
amniote	羊膜動物
amniotic	羊膜的
amoco	阿莫科
amoeba	阿米巴
amoebae	阿米巴
amoebas	阿米巴
amoebean	對答的
amoebic	阿米巴的
amoeboid	阿米巴狀的
amok	狂亂
among	在
amongst	在
amontillado	阿蒙蒂亞多
amor	愛
amoral	非道德的
amorality	非道德性
amorist	愛情家
amorous	多情的
amorphous	無定形的
amorphously	無定形地
amortization	攤銷
amortize	攤銷
amortized	已攤銷
amortizes	攤銷
amortizing	攤銷中
amos	阿摩司
amount	數量
amounted	總計
amounter	計算者
amounters	計算者
amounting	總計中
amounts	數量
amour	戀情
amoy	廈門
amp	安培
ampelopsis	蛇葡萄
amperage	電流強度
ampere	安培
amperes	安培
amperite	安培器
ampersand	和號
ampersands	和號
ampex	安培克斯
amphetamine	安非他明
amphetamines	安非他明
amphibian	兩棲動物
amphibians	兩棲動物
amphibious	兩棲的
amphibiously	兩棲地
amphibioustroops	兩棲部隊
amphibole	角閃石
amphibology	歧義
amphitheater	圓形劇場
amphitheaters	圓形劇場
amphitheatre	圓形劇場
amphitryon	安菲特律翁
amphora	雙耳瓶
amphoteric	兩性的
ample	充足的
amplidyne	放大機
amplification	放大
amplified	放大的
amplifier	放大器
amplifiers	放大器
amplifies	放大
amplify	放大
amplifying	放大
amplitude	振幅
amplitudes	振幅
